SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
856,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST.MARY'S COLLEGE OF PARAMEDICAL SCIENCE (Inst. Code  505) CUDDALORE (Id: C45572),Cuddalore,Nursing,0,40,40,0,7,7,1,1,5.72,8.58
857,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST.MARYS COLLEGE OF PARAMEDICAL SCIENCES CUDDALORE CUDDALORE (Id: C45572),Cuddalore,Nursing,0,40,40,0,7,7,1,1,5.72,8.58
858,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),ST.PAUL'S COMMUNITY COLLEGE (Inst. Code  567) TRICHY (Id: C49089),Tiruchirappalli,Nursing,0,0,0,0,0,0,0,0,0,0
859,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SUGAM HOSPITALS (P) LTD. (Inst. Code  369) CHEN0I (Id: C45470),Chennai,Nursing,0,0,0,0,0,0,0,1,0,3.34
860,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI COLLEGE OF NURSING COIMBATORE (Id: C45569),Coimbatore,Nursing,0,20,20,0,0,0,1,0,0,3.34
861,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI COLLEGE OF NURSING COIMBATORE COIMBATORE (Id: C45569),Coimbatore,Nursing,0,20,20,0,0,0,1,0,0,3.34
862,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI COLLEGE OF NURSING (Inst. Code  502) COIMBATORE (Id: C45569),Coimbatore,Nursing,0,20,20,0,0,0,0,0,0,0
863,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI SCHOOL OF NURSING DINDIGUL DINDIGUL (Id: C45583),Dharmapuri,Nursing,0,0,0,0,0,0,1,1,0,6.67
864,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI SCHOOL OF NURSING KARUR (Id: C45632),Karur,Nursing,0,30,30,0,6,6,0,0,5,1.67
865,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),SURABI SCHOOL OF NURSING KARUR KARUR (Id: C45632),Karur,Nursing,0,30,30,0,6,6,0,1,5,5
866,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TAMIL 0DU INSTITUTE OF PALLIATIVE MEDICINE and PARA MEDICAL SCIENCE OF SCOPE INDIA (Inst. Code  560) CUDDALORE (Id: C49044),Cuddalore,Nursing,0,0,0,0,0,0,1,0,0,3.34
867,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TARA INSTITUTE OF PARA MEDICAL SCIENCES (Inst. Code  458) VILLUPURAM (Id: C45736),Viluppuram,Nursing,0,37,37,0,6,6,0,0,6.17,2.06
868,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TARA INSTITUTE OF PARA MEDICAL SCIENCES VILUPURAM VILUPURAM (Id: C45736),Viluppuram,Nursing,0,37,37,0,6,6,1,0,6.17,5.39
869,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TCR HOSPITAL and CHARITABLE TRUST (Inst. Code  558) KRISH0GIRI (Id: C49059),Krishnagiri,Nursing,0,0,0,0,0,0,0,0,0,0
870,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TEAM SPECIALITY HOSPITAL (Inst. Code  452) PUDUKKOTTAI (Id: C45707),Pudukkottai,Nursing,0,22,22,6,18,24,0,0,0.92,0.31
871,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),TEAM SPECIALITY HOSPITAL PUDUKKOTTAI PUDUKKOTTAI (Id: C45707),Pudukkottai,Nursing,0,22,22,6,18,24,1,0,0.92,3.64
872,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),THIRUVALLUVAR NURSING INSTITUTION (Inst. Code  600) VILLUPURAM (Id: C49103),Viluppuram,Nursing,0,0,0,0,0,0,0,1,0,3.34
873,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VAIGARAI NURSING and HEALTH SCIENCE COLLEGE (Inst. Code  557) THIRUVAIYARU (Id: C49073),Thanjavur,Nursing,0,0,0,0,0,0,0,0,0,0
874,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VEECARE COLLEGE OF HEALTH SCIENCE (Inst. Code  476) CHEN0I (Id: C48995),Chennai,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
875,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VELLORE INSTITUTE OF PARA MEDICALS (Inst. Code  518) VELLORE (Id: C49098),Vellore,Nursing,0,0,0,0,0,0,1,0,0,3.34
876,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VENKATESWARA COLLEGE OF PHARMACY and NURSING A0IKKARI ( Inst. Code  563) (Id: C49074),Thanjavur,Nursing,0,0,0,0,0,0,0,0,0,0
877,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VENKATESWARA COLLEGE OF PHARMACY and NURSING (Inst. Code  539) KUMBAKKO0M (Id: C49077),Thanjavur,Nursing,0,0,0,0,0,0,0,0,0,0
878,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VENKATESWARA COLLEGE OF PHARMACY and NURSING MAN0RGUDI ( Inst. Code  540) (Id: C49075),Thiruvarur,Nursing,0,0,0,0,0,0,0,0,0,0
879,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VI0YAGA NURSING COLLEGE (529) (Id: C48984),Ariyalur,Nursing,0,0,0,0,0,0,1,1,0,6.67
880,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VI0YAGA NURSING COLLEGE (Inst. Code 529) Ariyalur (Id: C48984),Ariyalur,Nursing,0,0,0,0,0,0,1,0,0,3.34
881,Tamil Nadu,Tamil Nadu Dr. M.G.R. Medical University  Chennai (Id: U0481),VIVEKA0NDA (RABINRA0TH TAGORE) NURSING COLLEGE FOR WOMEN (Inst. Code  235) SALEM (Id: C45698),Salem,Nursing,0,55,55,0,12,12,1,1,4.59,8.2
882,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Aravindhar College of Education (Id: C14938),Tiruvannamalai,Teacher Training,48,52,100,5,2,7,0,1,14.29,8.1
883,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),A.S. College of Education (Id: C14922),Madurai,Teacher Training,0,0,0,0,0,0,0,0,0,0
884,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Bharat College of Education (Id: C14634),Vellore,Teacher Training,23,45,68,7,8,15,1,1,4.54,8.18
885,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Bharathi Vidyalaya College of Education (Id: C14608),Pudukkottai,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
886,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Bhavani College of Education (Id: C14720),Cuddalore,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
887,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Bishop Packiam Arokiaswamy College of Education (Id: C14681),Pudukkottai,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
888,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),E.S. College of Education (Id: C14978),Viluppuram,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
889,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Government College of Education (Id: C14598),Thanjavur,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
890,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Jairupa College of Education (Id: C14418),Erode,Teacher Training,38,97,135,11,6,17,1,1,7.95,9.32
891,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Muslim College of Education (Id: C14781),Kanniyakumari,Teacher Training,23,102,125,6,7,13,1,1,9.62,9.88
892,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Nairs College of Education (Id: C15018),Coimbatore,Teacher Training,14,86,100,7,2,9,1,0,11.12,7.04
893,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),N.K.T.National College of Education for Women (Autonomous) (Id: C14872),Chennai,Teacher Training,0,274,274,0,25,25,1,1,10.96,10.32
894,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Rajas College of Education (Id: C14533),Tirunelveli,Teacher Training,10,79,89,3,6,9,0,1,9.89,6.63
895,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),R.K. Samy College of Education (Id: C14866),Ramanathapuram,Teacher Training,4,96,100,5,3,8,0,0,12.5,4.17
896,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),S.M.R. College of Education (Id: C15027),Pudukkottai,Teacher Training,20,80,100,6,4,10,1,0,10,6.67
897,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Sri Rengeswarer College of Education (Id: C14469),Namakkal,Teacher Training,19,29,48,1,6,7,0,0,6.86,2.29
898,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),Sri Vidya College of Education (Id: C14816),Virudhunagar,Teacher Training,7,75,82,6,2,8,1,0,10.25,6.75
899,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),St.Marys College of Education and Research Institute (Id: C14775),Kancheepuram,Teacher Training,0,99,99,0,8,8,1,1,12.38,10.8
900,Tamil Nadu,Tamil Nadu Teacher Education University Chennai (Id: U0483),TVS Teacher Training Academy (Id: C14887),Madurai,Teacher Training,8,91,99,1,7,8,1,1,12.38,10.8
901,Telangana,Jawaharlal Nehru Technological University Hyderabad (Id: U0017),Anu Bose Institute of Technology (Id: C19776),Khammam,Technical/Polytechnic,531,391,922,59,53,112,0,0,8.24,2.75
902,Telangana,Jawaharlal Nehru Technological University Hyderabad (Id: U0017),Daripally Anantharamulu College of Engineering and Technology (Id: C19595),Khammam,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
903,Telangana,Jawaharlal Nehru Technological University Hyderabad (Id: U0017),Sree Rama Institute of Science and Technology (Id: C19851),Khammam,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
904,Telangana,Jawaharlal Nehru Technological University Hyderabad (Id: U0017),Sri Kavita Engineering College (Id: C19640),Khammam,Technical/Polytechnic,1098,677,1775,122,54,176,0,1,10.09,6.7
905,Telangana,Kakatiya University Warangal (Id: U0019),Anniebesant College of Education Kranthi Nagar Ballepally Khammam (Id: C27264),Khammam,Teacher Training,57,63,120,6,4,10,0,1,12,7.34
906,Telangana,Kakatiya University Warangal (Id: U0019),Dr. M.R. Reddy College of Education Parkal (Id: C27407),Warangal,Teacher Training,45,75,120,9,1,10,1,1,12,10.67
907,Telangana,Kakatiya University Warangal (Id: U0019),Dr. Rajendra Prasad B.Ed. College Asifabad (Id: C27438),Adilabad,Teacher Training,42,58,100,8,0,8,1,1,12.5,10.84
908,Telangana,Kakatiya University Warangal (Id: U0019),Rahman s College of Education Jangaon (Id: C27345),Warangal,Teacher Training,13,87,100,7,1,8,1,1,12.5,10.84
909,Telangana,Kakatiya University Warangal (Id: U0019),St. Mary's Colelge of EducationJangaon (Id: C40802),Warangal,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
910,Telangana,Kakatiya University Warangal (Id: U0019),Vivekananda College of Education Adilabad (Id: C27324),Adilabad,Teacher Training,0,0,0,0,0,0,0,0,0,0
911,Telangana,Mahatma Gandhi University Nalgonda (Id: U0022),KHATIZA KUTHUN COLLEGE OF EDUCAITON NIDMANOOR (Id: C33257),Nalgonda,Teacher Training,0,0,0,13,0,13,1,0,0,3.34
912,Telangana,Maulana Azad National Urdu University Hyderabad (Id: U0023),MANUU POLYTECHNIC RANGAREDDY (Id: C46610),Rangareddy,Technical/Polytechnic,359,13,372,16,8,24,0,0,15.5,5.17
913,Telangana,Osmania University Hyderabad (Id: U0027),G.V.K. Emergency Management and Research Institute (Id: C25426),Hyderabad,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
914,Telangana,Osmania University Hyderabad (Id: U0027),Pragna College of Education (Id: C25675),Rangareddy,Teacher Training,32,34,66,10,1,11,1,0,6,5.34
915,Telangana,Osmania University Hyderabad (Id: U0027),Presidency College of Education for Girls (Id: C25472),Hyderabad,Teacher Training,0,100,100,3,6,9,0,1,11.12,7.04
916,Telangana,Osmania University Hyderabad (Id: U0027),RBVRR College for Women (Id: C26006),Hyderabad,Technical/Polytechnic,0,2188,2188,0,79,79,1,0,27.7,12.57
917,Telangana,Osmania University Hyderabad (Id: U0027),Shree Shakthi College of Hotel Management (Id: C25433),Hyderabad,Technical/Polytechnic,106,4,110,9,5,14,1,1,7.86,9.29
918,Telangana,Osmania University Hyderabad (Id: U0027),Sri Venkateshwara College of Education (Id: C25669),Rangareddy,Teacher Training,55,42,97,7,1,8,0,1,12.13,7.38
919,Telangana,Osmania University Hyderabad (Id: U0027),St. Judes College of Education (Id: C25792),Rangareddy,Teacher Training,0,92,92,5,1,6,1,1,15.34,11.78
920,Telangana,Palamuru University Mahabubnagar (Id: U0028),Noor College of Education Shadnagar (Id: C21980),Mahbubnagar,Teacher Training,11,38,49,7,2,9,1,0,5.45,5.15
921,Telangana,Palamuru University Mahabubnagar (Id: U0028),Scholors College of Education Wanaparthy (Id: C22017),Mahbubnagar,Teacher Training,50,50,100,7,1,8,1,1,12.5,10.84
922,Telangana,Telangana University Nizamabad (Id: U0040),Indur College of Education Bodhan (5281) (Id: C35074),Nizamabad,Teacher Training,43,77,120,7,1,8,0,1,15,8.34
923,Tripura,Tripura University Agartala (Id: U0495),Dhalai District Polytechnic Institute (Id: C9586),Dhalai,Technical/Polytechnic,244,97,341,3,0,3,0,1,113.67,41.23
924,Tripura,Tripura University Agartala (Id: U0495),Regional College of Physical Education (Id: C9596),North Tripura,Teacher Training,0,0,0,0,0,0,0,0,0,0
925,Tripura,Tripura University Agartala (Id: U0495),TRIPURA STATE ACADEMY OF TRIBAL CULTURE AGARTALA (Id: C47427),West Tripura,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
926,Tripura,Tripura University Agartala (Id: U0495),Women's Polytechnic College (Id: C9593),West Tripura,Technical/Polytechnic,0,352,352,16,12,28,0,1,12.58,7.53
927,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),MAYANK SHEKHAR MAHAVIDYALAYA KAURAWAN (Id: C12206),Kanpur Dehat,Technical/Polytechnic,9,429,438,16,4,20,0,0,21.9,7.3
928,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),0RAYAN ARYA KANYA PATHSHALA (Id: C12147),Farrukhabad,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
929,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),PREMA KATIYAR SIKSHAN SANSTHAN MAHAVIDYALAYA (Id: C12054),Kanpur Dehat,Teacher Training,897,629,1526,21,10,31,0,1,49.23,19.75
930,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),RAM JANKI MAHAVIDYALAYA ASAI BAIRY SAWAI (Id: C12162),Kanpur Dehat,Teacher Training,1087,939,2026,15,5,20,1,1,101.3,40.44
931,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),REGIO0L INSTITUTE OF OPHTHALMOLOGY (Id: C12387),Sitapur,Nursing,50,20,70,7,3,10,1,1,7,9
932,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),SHIVAJI VIDYAPEETH MAHAVIDYALAYA LAHARPUR (Id: C12441),Sitapur,Technical/Polytechnic,2940,1220,4160,18,11,29,1,0,143.45,51.15
933,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),SHRI KRISH0 MAHAVIDYALAYA 0GLA HARJU (Id: C12322),Etawah,Teacher Training,424,182,606,8,3,11,0,1,55.1,21.7
934,Uttar Pradesh,Chatrapati Sahuji Maharaj Kanpur University Kanpur (Id: U0505),SRI SURAJ DATT KANTI DEVI MAHILA MAHAVIDHYALAYA KHIRO (Id: C50167),Rae Bareli,Teacher Training,0,0,0,0,0,0,0,0,0,0
935,Uttar Pradesh,Choudhary Charan Singh University Meerut (Id: U0506),INSTITUTE OF TEACHER EDUCATION DELHIMEERUT ROAD KADARBAD MODI0GAR (GHAZIABAD) (Id: C28762),Ghaziabad,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
936,Uttar Pradesh,Dr. B. R. Ambedkar University Agra (Id: U0509),KRISH0 COLLEGE OF SPORTS and EDUCATION BAMRAULI KATARA AGRA (Id: C15370),Agra,Teacher Training,47,53,100,3,5,8,0,0,12.5,4.17
937,Uttar Pradesh,Gautam Buddh Technical University Lucknow (Id: U0549),DR K N MODI GIRLS ENGINEERING COLLEGE MODI0GAR (Id: C46986),Ghaziabad,Technical/Polytechnic,24,95,119,34,28,62,0,1,1.92,3.98
938,Uttar Pradesh,Integral University Lucknow (Id: U0519),University Polytechnic Shahjahanpur (Id: C1073),Shahjahanpur,Technical/Polytechnic,324,0,324,21,0,21,1,0,15.43,8.48
939,Uttar Pradesh,KING GEORGE MEDICAL UNIVERSITY (Id: U0523),B.C.M College of Nursing (Id: C31902),Sitapur,Nursing,0,208,208,0,22,22,0,0,9.46,3.16
940,Uttar Pradesh,Mahamaya Technical University (Id: U0526),KISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY MEERUT (Id: C46418),Meerut,Technical/Polytechnic,515,73,588,62,44,106,0,0,5.55,1.85
941,Uttar Pradesh,Mahatama Jyotiba Phule Rohikhand University Bareilly (Id: U0525),Jagdesh Saran Hindu (PG) College Amroha (Id: C13485),Jyotiba Phule Nagar,Technical/Polytechnic,3611,4828,8439,37,24,61,0,1,138.35,49.45
942,Uttar Pradesh,Mahatama Jyotiba Phule Rohikhand University Bareilly (Id: U0525),Kothiwal Dental College and Research Centre (Id: C13457),Moradabad,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
943,Uttar Pradesh,Sampurnanand Sanskrit Vishwavidyalaya Varanasi (Id: U0537),Parashuram Seva Sansthan Gyanchandra Sanskrit Mahavidyalaya Rampur Mahval (Id: C20531),Ballia,Teacher Training,45,109,154,7,0,7,0,0,22,7.34
944,Uttar Pradesh,Veer Bahadur Singh Purvanchal University Jaunpur (Id: U0550),Abdul Aziz Ansari Degree College Majadiha Shahganj  Jaunpur (Id: C16138),Jaunpur,Teacher Training,209,499,708,23,2,25,1,0,28.32,12.78
945,Uttar Pradesh,Veer Bahadur Singh Purvanchal University Jaunpur (Id: U0550),Parwati Mahila Degree College Doharighat Mau (Id: C15981),Mau,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
946,Uttrakhand,Hemwati Nandan Bahuguna Garhwal Univeristy Srinagar Garhwal (Id: U0557),Dayanand Womens Training College Dehradun (Id: C24589),Dehradun,Teacher Training,0,70,70,0,8,8,0,1,8.75,6.25
947,Uttrakhand,Uttrakhand Technical University Dehradun (Id: U0566),B.F.I.T. Technical Campus (Id: C21293),Dehradun,Technical/Polytechnic,178,77,255,53,31,84,0,1,3.04,4.35
948,Uttrakhand,Uttrakhand Technical University Dehradun (Id: U0566),Roorkee College of Pharmacy (Id: C21272),Hardwar,Technical/Polytechnic,119,42,161,10,9,19,1,1,8.48,9.5
949,West Bengal,Burdwan University Burdwan (Id: U0569),Athena B. Ed. College (Id: C44780),Bankura,Teacher Training,51,49,100,7,1,8,0,0,12.5,4.17
950,West Bengal,Burdwan University Burdwan (Id: U0569),Bijoy Pal Memorial B. Ed. College (Id: C44746),Barddhaman,Teacher Training,36,61,97,7,2,9,1,0,10.78,6.93
951,West Bengal,Burdwan University Burdwan (Id: U0569),Deben Mahato Teachers' Training College (Id: C44749),Puruliya,Teacher Training,39,56,95,11,4,15,1,0,6.34,5.45
952,West Bengal,Burdwan University Burdwan (Id: U0569),Mohanananda College (Id: C44758),Barddhaman,Teacher Training,31,69,100,4,4,8,1,0,12.5,7.5
953,West Bengal,Burdwan University Burdwan (Id: U0569),SwarajnagarTeachers' Training College (B. Ed.) (Id: C44698),Bankura,Teacher Training,48,49,97,9,1,10,0,0,9.7,3.24
954,West Bengal,Burdwan University Burdwan (Id: U0569),Tarapith College of B.Ed. (Id: C44666),Birbhum,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
955,West Bengal,Calcutta University Kolkata (Id: U0570),Gangadharpur Sikshan Mandir (Id: C11870),Haora,Teacher Training,64,86,150,10,9,19,1,0,7.9,5.97
956,West Bengal,Kalyani University Kalyani (Id: U0576),Central Cerucltural Research and Training Institute (Id: C44043),Murshidabad,Technical/Polytechnic,16,10,26,30,6,36,1,0,0.73,3.58
957,West Bengal,Kalyani University Kalyani (Id: U0576),J.R.S.E.T. College of Education (Id: C7052),Nadia,Teacher Training,30,65,95,6,8,14,0,1,6.79,5.6
958,West Bengal,Kalyani University Kalyani (Id: U0576),Monarch College of Art and Technology (Id: C7111),Murshidabad,Technical/Polytechnic,18,1,19,5,1,6,1,0,3.17,4.39
959,West Bengal,Kalyani University Kalyani (Id: U0576),Renuka Debi B.Ed. College (Id: C7118),Nadia,Teacher Training,53,47,100,11,1,12,1,0,8.34,6.12
960,West Bengal,Kalyani University Kalyani (Id: U0576),Tagore School of Rural Development and Agriculture (Id: C7087),Nadia,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
961,West Bengal,North Bengal University Darjeeling (Id: U0579),GOVT. COLLEGE OF PHYSICAL EDUCATION FOR WOMEN COOCHBEHAR (Id: C45327),Koch Bihar,Teacher Training,0,50,50,1,2,3,0,1,16.67,8.89
962,West Bengal,North Bengal University Darjeeling (Id: U0579),VIDYASAGAR COLLEGE OF EDUCATION DARJILING (Id: C45783),Darjiling,Teacher Training,43,57,100,4,5,9,1,0,11.12,7.04
963,West Bengal,SidhoKanho Birsa University (Id: U0583),Deben Mahato Teachers' Training College (Id: C44749),Puruliya,Teacher Training,39,56,95,11,4,15,1,0,6.34,5.45
964,West Bengal,SidhoKanho Birsa University (Id: U0583),HALADHAR MAHATO TEACHERS TRAINING INSTITUTE (Id: C50002),Puruliya,Teacher Training,52,12,64,7,6,13,1,0,4.93,4.98
965,West Bengal,The West Bengal University of Health Sciences Kolkata (Id: U0586),College of Medicine and J N M Hospital Kalyani (Id: C16382),Nadia,Nursing,249,148,397,100,29,129,0,0,3.08,1.03
966,West Bengal,University of Gour Banga Malda (Id: U0571),CHANCHAL B ED COLLEGE MALDA (Id: C46603),Maldah,Teacher Training,62,38,100,7,2,9,1,0,11.12,7.04
967,West Bengal,University of Gour Banga Malda (Id: U0571),DAVID HARE TEACHERS TRAINING COLLEGE MALDA (Id: C46604),Maldah,Teacher Training,62,38,100,8,2,10,1,0,10,6.67
968,West Bengal,University of Gour Banga Malda (Id: U0571),DR SARVAPALLI RADHAKRISH0N B ED COLLEGE MALDA (Id: C46605),Maldah,Teacher Training,54,45,99,9,2,11,0,0,9,3
969,West Bengal,University of Gour Banga Malda (Id: U0571),KALIACHAK SULTA0 COLLEGE OF EDUCATION MALDA (Id: C46653),Maldah,Teacher Training,70,30,100,8,2,10,1,0,10,6.67
970,West Bengal,University of Gour Banga Malda (Id: U0571),Moulana Abul Kalam Azad B. Ed. College (Id: C42692),Uttar Dinajpur,Teacher Training,57,43,100,5,5,10,0,0,10,3.34
971,West Bengal,University of Gour Banga Malda (Id: U0571),NETAJI SUBHAS CHANDRA BOSE TEACHERS TRAINING COLLGE UTTAR DIJ0PUR (Id: C46607),Uttar Dinajpur,Teacher Training,53,47,100,8,3,11,0,0,9.1,3.04
972,West Bengal,University of Gour Banga Malda (Id: U0571),North Malda Teachears' Education College (Id: C42693),Maldah,Teacher Training,73,27,100,6,2,8,1,1,12.5,10.84
973,West Bengal,University of Gour Banga Malda (Id: U0571),PAKUAHAT TEACHERS EDUCATION COLLEGE MALDA (Id: C46654),Maldah,Teacher Training,59,41,100,9,2,11,0,0,9.1,3.04
974,West Bengal,University of Gour Banga Malda (Id: U0571),Satish B. Ed. College (Id: C42669),Maldah,Teacher Training,39,61,100,7,3,10,1,1,10,10
975,West Bengal,University of Gour Banga Malda (Id: U0571),Uttar Banga Womens' B. Ed. College (Id: C42685),Maldah,Teacher Training,0,100,100,6,2,8,1,0,12.5,7.5
976,West Bengal,University of Gour Banga Malda (Id: U0571),Vibekananda Teacher Training College (Id: C42683),Maldah,Teacher Training,58,42,100,5,2,7,1,0,14.29,8.1
977,West Bengal,University of Gour Banga Malda (Id: U0571),Vidyasagar Teacher Training College (Id: C42688),Maldah,Teacher Training,66,34,100,4,3,7,0,1,14.29,8.1
978,West Bengal,Vidya Sagar University Midnapore (Id: U0588),Vidyasagar Teachers' Traning College (Id: C19043),Paschim Medinipur,Teacher Training,47,49,96,6,1,7,1,1,13.72,11.24
979,West Bengal,Vidya Sagar University Midnapore (Id: U0588),Vivekananda Mission Ashram (Id: C19108),Purba Medinipur,Nursing,15,22,37,12,1,13,0,0,2.85,0.95
980,West Bengal,West Bengal State University Kolkata (Id: U0590),Nandalal Ghosh B.T.College (Id: C43364),North Twenty Four Parganas,Teacher Training,54,40,94,7,4,11,0,0,8.55,2.85
981,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),Calcutta Institute of Pharmaceutical Technology and Allied Health Sciences 159PHAR (Id: C6312),Haora,Technical/Polytechnic,208,92,300,31,6,37,0,0,8.11,2.71
982,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),Calcutta Institute of Pharmaceutical Technology and Allied Health Sciences 159 (Id: C6312),Haora,Technical/Polytechnic,208,92,300,31,6,37,0,0,8.11,2.71
983,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),Narula Institute of Technology 127MBA (Id: C6140),North Twenty Four Parganas,Technical/Polytechnic,24,22,46,6,3,9,0,1,5.12,5.04
984,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),Narula Institute of Technology 305 (Id: C6140),North Twenty Four Parganas,Technical/Polytechnic,24,22,46,6,3,9,1,0,5.12,5.04
985,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),West Bengal State Council for Science and Technology 243 (Id: C6252),Barddhaman,Technical/Polytechnic,6,5,11,6,5,11,1,0,1,3.67
986,West Bengal,West Bengal University of Technology Kolkata (Id: U0592),West Bengal State Council for Science and Technology 243 (Id: C6252),North Twenty Four Parganas,Technical/Polytechnic,6,5,11,6,5,11,1,1,1,7
